date,time,venue,topic,presenter,paper_authors,paper_title,paper_venue,paper_year,slides_link,paper_link,arxiv_link
2018-10-02,,,,Matteo Gamba,"Dinh et al. ""Sharp Minima Can Generalize For Deep Nets"" ICML 2017Sagun et al. ""Empirical analysis of the Hessian of over-parametrised neural networks"" ICLR 2018 Workshop",,,,https://www.csc.kth.se/cvap/cvg/rg/materials/matteo_001_slides.pdf,,
2018-09-18,,,,Federico Baldassarre,"Xu et al. ""Scene Graph Generation by Iterative Message Passing"" CVPR 2017",,,,https://www.csc.kth.se/cvap/cvg/rg/materials/federico_001_slides.pdf,,
2017-10-20,,,,Hossein Azizpour,"Zhang et al. ""Understanding deep learning requires rethinking generalization"" ICLR 2017",,,,https://www.csc.kth.se/cvap/cvg/rg/materials/hossein_013_slides.pdf,,
2015-05-22,,,,Ali Sharif Razavian,J. Weston,Memory Networks,"S. Chopra, A. Bordes In ICLR",2015,,,
2015-04-10,,,,Roelof Pieters,F. Hill,Learning to Understand Phrases by Embedding the Dictionary,"A. Korhonen, K. Cho, Y. Bengio In arXiv",2015,,,
2015-03-27,,,,Hossein Azizpour,Xiao Lin,,"Devi Parikh ""Dont Just Listen, Use Your Imagination:Leveraging Visual Common Sense for Non-Visual Tasks"" In CVPR",2015,,,
2015-03-13,,,,Amaru Cuba Gyllensten,"Zhang and LeCun ""Text Understanding from Scratch"" In arXiv 2015",,,,,,
2015-02-20,,,,Roelof PietersAli Sharif Razavian,R. Socher,Zero-shot learning through cross-modal transfer.,"M. Ganjoo, H. Sridhar, O. Bastani, C. Manning, and A. Ng. In ICLR 2013A. Frome, G. S. Corrado, J. Shlens, S. Bengio, J. Dean, T. Mikolov ""Devise: A deep visual-semantic embeddingmodel."" In NIPS,",2013,,,
2015-02-13,,,,Yang Zhong,Y. Sun,"Deep Learning Face Representation from Predicting 10,000 Classes.","X. Wang, and X. Tang CVPR 2014Y. Sun, X. Wang, and X. Tang ""Deep Learning Face Representation by Joint Identification-Verification."" arXiv 2014Y. Sun, X. Wang, and X. Tang ""Deeply Learned Face Representations are Sparse, Selective, and Robust."" arXiv",2014,,,
2015-02-06,,,,Hossein Azizpour,Andrej Karpathy,Deep Visual-Semantic Alignments for Generating Image Descriptions,Li Fei-Fei arXiv,2014,http://cs.stanford.edu/people/karpathy/deepimagesent/,,
